default 20.555
time(min),temperature(C)
679, 20.833
680, 20.817
681, 20.800
682, 20.800
683, 20.800
684, 20.800
685, 20.800
686, 20.800
687, 20.800
688, 20.800
689, 20.800
690, 20.800
691, 20.800
692, 20.800
693, 20.800
694, 20.783
695, 20.800
696, 20.783
697, 20.783
698, 20.717
699, 20.700
700, 20.717
701, 20.700
702, 20.700
703, 20.700
704, 20.700
705, 20.700
706, 20.700
707, 20.700
708, 20.700
709, 20.700
710, 20.700
711, 20.700
712, 20.700
713, 20.700
714, 20.700
715, 20.700
716, 20.700
717, 20.700
718, 20.700
719, 20.700
720, 20.700
721, 20.700
722, 20.683
723, 20.700
724, 20.667
725, 20.650
726, 20.633
727, 20.617
728, 20.600
729, 20.600
730, 20.600
731, 20.600
732, 20.600
733, 20.600
734, 20.600
735, 20.600
736, 20.600
737, 20.600
738, 20.600
739, 20.600
740, 20.600
741, 20.600
742, 20.600
743, 20.600
744, 20.600
745, 20.600
746, 20.600
747, 20.600
748, 20.600
749, 20.600
750, 20.600
751, 20.600
752, 20.600
753, 20.600
754, 20.600
755, 20.600
756, 20.600
757, 20.600
758, 20.600
759, 20.600
760, 20.600
761, 20.600
762, 20.600
763, 20.600
764, 20.600
765, 20.600
766, 20.600
767, 20.600
768, 20.600
769, 20.583
770, 20.583
771, 20.583
772, 20.600
773, 20.600
774, 20.600
775, 20.567
776, 20.583
777, 20.583
778, 20.567
779, 20.550
780, 20.567
781, 20.550
782, 20.550
783, 20.567
784, 20.533
785, 20.567
786, 20.550
787, 20.567
788, 20.567
789, 20.500
790, 20.550
791, 20.533
792, 20.517
793, 20.517
794, 20.517
795, 20.517
796, 20.517
797, 20.500
798, 20.533
799, 20.517
800, 20.500
801, 20.500
802, 20.517
803, 20.500
804, 20.500
805, 20.500
806, 20.500
807, 20.500
808, 20.500
809, 20.500
810, 20.500
811, 20.500
812, 20.500
813, 20.500
814, 20.500
815, 20.500
816, 20.500
817, 20.500
818, 20.500
819, 20.500
820, 20.500
821, 20.500
822, 20.500
823, 20.500
824, 20.500
825, 20.500
826, 20.500
827, 20.500
828, 20.500
829, 20.500
830, 20.500
831, 20.500
832, 20.500
833, 20.500
834, 20.500
835, 20.533
836, 20.517
837, 20.500
838, 20.500
839, 20.500
840, 20.517
841, 20.500
842, 20.500
843, 20.500
844, 20.533
845, 20.500
846, 20.500
847, 20.517
848, 20.517
849, 20.517
850, 20.533
851, 20.500
852, 20.550
853, 20.500
854, 20.517
855, 20.550
856, 20.550
857, 20.550
858, 20.567
859, 20.567
860, 20.567
861, 20.583
862, 20.567
863, 20.600
864, 20.583
865, 20.600
866, 20.600
867, 20.600
868, 20.600
869, 20.583
870, 20.600
871, 20.583
872, 20.583
873, 20.600
874, 20.600
875, 20.583
876, 20.600
877, 20.583
878, 20.583
879, 20.600
880, 20.600
881, 20.567
882, 20.583
883, 20.600
884, 20.600
885, 20.600
886, 20.600
887, 20.600
888, 20.600
889, 20.600
890, 20.600
891, 20.600
892, 20.583
893, 20.600
894, 20.567
895, 20.567
896, 20.600
897, 20.583
898, 20.600
899, 20.600
900, 20.583
901, 20.583
902, 20.583
903, 20.600
904, 20.600
905, 20.600
906, 20.600
907, 20.600
908, 20.600
909, 20.600
910, 20.583
911, 20.583
912, 20.600
913, 20.600
914, 20.600
915, 20.583
916, 20.600
917, 20.600
918, 20.600
919, 20.600
920, 20.600
921, 20.600
922, 20.600
923, 20.600
924, 20.583
925, 20.600
926, 20.600
927, 20.600
928, 20.600
929, 20.600
930, 20.600
931, 20.600
932, 20.600
933, 20.600
934, 20.600
935, 20.600
936, 20.600
937, 20.600
938, 20.600
939, 20.583
940, 20.600
941, 20.600
942, 20.600
943, 20.600
944, 20.600
945, 18.533
946, 15.300
947, 15.017
948, 14.967
949, 14.900
950, 14.917
951, 14.900
952, 15.050
953, 15.250
954, 15.450
955, 15.583
956, 15.717
957, 15.833
958, 15.933
959, 16.050
960, 16.167
961, 16.283
962, 16.383
963, 16.500
964, 16.600
965, 16.700
966, 16.783
967, 16.917
968, 17.000
969, 17.083
970, 17.183
971, 17.300
972, 17.417
973, 17.533
974, 17.650
975, 17.767
976, 17.917
977, 18.050
978, 18.200
979, 18.350
980, 18.483
981, 18.633
982, 18.750
983, 18.883
984, 19.050
985, 19.183
986, 19.333
987, 19.467
988, 19.650
989, 19.783
990, 19.950
991, 20.083
992, 20.200
993, 20.350
994, 20.500
995, 20.650
996, 20.800
997, 20.950
998, 21.067
999, 21.200
1000, 21.333
1001, 21.450
1002, 21.567
1003, 21.717
1004, 18.917
1005, 15.150
1006, 15.017
1007, 14.983
1008, 14.967
1009, 14.933
1010, 15.067
1011, 15.200
1012, 15.350
1013, 15.500
1014, 15.650
1015, 15.767
1016, 15.883
1017, 16.000
1018, 16.133
1019, 16.250
1020, 16.350
1021, 16.483
1022, 16.583
1023, 16.717
1024, 16.817
1025, 16.933
1026, 17.050
1027, 17.167
1028, 17.300
1029, 17.433
1030, 17.583
1031, 17.750
1032, 17.900
1033, 17.967
1034, 15.967
1035, 15.200
1036, 15.100
1037, 15.100
1038, 15.200
1039, 15.333
1040, 15.467
1041, 15.617
1042, 15.733
1043, 15.850
1044, 15.967
1045, 16.117
1046, 16.217
1047, 16.350
1048, 16.467
1049, 16.567
1050, 16.683
1051, 16.817
1052, 16.933
1053, 17.050
1054, 17.150
1055, 17.300
1056, 17.450
1057, 17.583
1058, 17.767
1059, 17.917
1060, 18.100
1061, 18.250
1062, 18.450
1063, 18.617
1064, 18.817
1065, 18.983
1066, 19.167
1067, 19.350
1068, 19.550
1069, 19.733
1070, 19.917
1071, 20.117
1072, 20.283
1073, 20.450
1074, 20.617
1075, 20.783
1076, 20.967
1077, 21.117
1078, 20.950
1079, 17.000
1080, 15.383
1081, 15.150
1082, 15.117
1083, 15.233
1084, 14.700
1085, 15.017
1086, 15.033
1087, 15.050
1088, 15.117
1089, 15.250
1090, 15.350
1091, 15.450
1092, 15.550
1093, 15.650
1094, 15.750
1095, 15.850
1096, 15.933
1097, 16.017
1098, 16.100
1099, 16.183
1100, 16.233
1101, 16.300
1102, 16.400
1103, 16.450
1104, 16.500
1105, 16.600
1106, 16.667
1107, 16.717
1108, 16.800
1109, 16.867
1110, 16.900
1111, 17.000
1112, 17.033
1113, 17.100
1114, 17.167
1115, 17.200
1116, 17.283
1117, 17.317
1118, 17.400
1119, 17.433
1120, 17.500
1121, 17.533
1122, 17.600
1123, 17.650
1124, 17.700
1125, 17.750
1126, 17.800
1127, 17.833
1128, 17.900
1129, 17.900
1130, 18.000
1131, 18.000
1132, 18.083
1133, 18.100
1134, 18.167
1135, 18.200
1136, 18.200
1137, 18.300
1138, 18.300
1139, 18.333
1140, 18.400
1141, 18.400
1142, 18.483
1143, 18.500
1144, 18.500
1145, 18.600
1146, 18.600
1147, 18.617
1148, 18.700
1149, 18.700
1150, 18.717
1151, 18.800
1152, 18.800
1153, 18.800
1154, 18.883
1155, 18.900
1156, 18.900
1157, 18.933
1158, 19.000
1159, 19.000
1160, 19.000
1161, 19.067
1162, 19.100
1163, 19.100
1164, 19.100
1165, 19.167
1166, 19.200
1167, 19.200
1168, 19.200
1169, 19.250
1170, 19.300
1171, 19.300
1172, 19.300
1173, 19.317
1174, 19.400
1175, 19.400
1176, 19.400
1177, 19.400
1178, 19.417
1179, 19.500
1180, 19.500
1181, 19.500
1182, 19.500
1183, 19.517
1184, 19.600
1185, 19.600
1186, 19.600
1187, 19.600
1188, 19.600
1189, 19.633
1190, 19.700
1191, 19.700
1192, 19.700
1193, 19.700
1194, 19.700
1195, 19.717
1196, 19.750
1197, 19.800
1198, 19.800
1199, 19.800
1200, 19.800
1201, 19.817
1202, 19.833
1203, 19.883
1204, 19.900
1205, 19.900
1206, 19.900
1207, 19.900
1208, 19.900
1209, 19.900
1210, 19.900
1211, 19.983
1212, 19.983
1213, 20.000
1214, 20.000
1215, 20.000
1216, 20.000
1217, 20.000
1218, 20.000
1219, 20.000
1220, 20.000
1221, 20.083
1222, 20.100
1223, 20.100
1224, 20.100
1225, 20.100
1226, 20.100
1227, 20.100
1228, 20.100
1229, 20.100
1230, 20.100
1231, 20.150
1232, 20.133
1233, 20.167
1234, 20.200
1235, 20.200
1236, 20.200
1237, 20.200
1238, 20.200
1239, 20.200
1240, 20.200
1241, 20.200
1242, 20.200
1243, 20.200
1244, 20.233
1245, 20.233
1246, 20.300
1247, 20.283
1248, 20.267
1249, 20.300
1250, 20.300
1251, 20.300
1252, 20.300
1253, 20.300
1254, 20.300
1255, 20.300
1256, 20.300
1257, 20.300
1258, 20.300
1259, 20.300
1260, 20.300
1261, 20.300
1262, 20.317
1263, 20.300
1264, 20.350
1265, 20.333
1266, 20.383
1267, 20.400
1268, 20.400
1269, 20.400
1270, 20.383
1271, 20.400
1272, 20.400
1273, 20.417
1274, 18.450
1275, 15.583
1276, 15.217
1277, 15.083
1278, 15.100
1279, 15.167
1280, 15.300
1281, 15.433
