"minutes","test","model","flow","inputPower","outputPower","tcouples1","tcouples2","tcouples3","tcouples4","tcouples5","tcouples6","aveTankTemp","type"
90,"DOE_24hr0","Sanden80",0,0,0,57.5771,98.75804,148.22906,148.22906,148.22906,148.22906,124.87523,"Simulated"
91,"DOE_24hr0","Sanden80",0,0,0,57.56918,98.75012,148.22114,148.22114,148.22114,148.22114,124.86731,"Simulated"
92,"DOE_24hr0","Sanden80",0,0,0,57.56126,98.7422,148.21322,148.21322,148.21322,148.21322,124.85939,"Simulated"
93,"DOE_24hr0","Sanden80",0,0,0,57.55334,98.73428,148.2053,148.2053,148.2053,148.2053,124.85147,"Simulated"
94,"DOE_24hr0","Sanden80",0,0,0,57.54542,98.72636,148.19738,148.19738,148.19738,148.19738,124.84355,"Simulated"
95,"DOE_24hr0","Sanden80",0,0,0,57.5375,98.71844,148.18946,148.18946,148.18946,148.18946,124.83563,"Simulated"
96,"DOE_24hr0","Sanden80",0,0,0,57.52958,98.71052,148.18154,148.18154,148.18154,148.18154,124.82771,"Simulated"
97,"DOE_24hr0","Sanden80",0,0,0,57.52166,98.7026,148.17362,148.17362,148.17362,148.17362,124.81979,"Simulated"
98,"DOE_24hr0","Sanden80",0,0,0,57.51374,98.69468,148.1657,148.1657,148.1657,148.1657,124.81187,"Simulated"
99,"DOE_24hr0","Sanden80",0,0,0,57.50582,98.68676,148.15778,148.15778,148.15778,148.15778,124.80395,"Simulated"
100,"DOE_24hr0","Sanden80",0,0,0,57.4979,98.67884,148.14986,148.14986,148.14986,148.14986,124.79603,"Simulated"
101,"DOE_24hr0","Sanden80",0,0,0,57.48998,98.67092,148.14194,148.14194,148.14194,148.14194,124.78811,"Simulated"
102,"DOE_24hr0","Sanden80",0,0,0,57.48206,98.663,148.13402,148.13402,148.13402,148.13402,124.78019,"Simulated"
103,"DOE_24hr0","Sanden80",0,0,0,57.47414,98.65508,148.1261,148.1261,148.1261,148.1261,124.77227,"Simulated"
104,"DOE_24hr0","Sanden80",0,0,0,57.46622,98.64716,148.11818,148.11818,148.11818,148.11818,124.76435,"Simulated"
105,"DOE_24hr0","Sanden80",0,0,0,57.4583,98.63924,148.11026,148.11026,148.11026,148.11026,124.75643,"Simulated"
106,"DOE_24hr0","Sanden80",0,0,0,57.45038,98.63132,148.10234,148.10234,148.10234,148.10234,124.74851,"Simulated"
107,"DOE_24hr0","Sanden80",0,0,0,57.44246,98.6234,148.09442,148.09442,148.09442,148.09442,124.74059,"Simulated"
108,"DOE_24hr0","Sanden80",0,0,0,57.43454,98.61566,148.0865,148.0865,148.0865,148.0865,124.7327,"Simulated"
109,"DOE_24hr0","Sanden80",0,0,0,57.42662,98.60774,148.07858,148.07858,148.07858,148.07858,124.72478,"Simulated"
110,"DOE_24hr0","Sanden80",0,0,0,57.4187,98.59982,148.07066,148.07066,148.07066,148.07066,124.71686,"Simulated"
111,"DOE_24hr0","Sanden80",0,0,0,57.41078,98.5919,148.06274,148.06274,148.06274,148.06274,124.70894,"Simulated"
112,"DOE_24hr0","Sanden80",0,0,0,57.40286,98.58398,148.05482,148.05482,148.05482,148.05482,124.70102,"Simulated"
113,"DOE_24hr0","Sanden80",0,0,0,57.39494,98.57606,148.0469,148.0469,148.0469,148.0469,124.6931,"Simulated"
114,"DOE_24hr0","Sanden80",0,0,0,57.38702,98.56814,148.03898,148.03898,148.03898,148.03898,124.68518,"Simulated"
115,"DOE_24hr0","Sanden80",0,0,0,57.3791,98.56022,148.03106,148.03106,148.03106,148.03106,124.67726,"Simulated"
116,"DOE_24hr0","Sanden80",0,0,0,57.37118,98.5523,148.02314,148.02314,148.02314,148.02314,124.66934,"Simulated"
117,"DOE_24hr0","Sanden80",0,0,0,57.36344,98.54438,148.01522,148.01522,148.01522,148.01522,124.66145,"Simulated"
118,"DOE_24hr0","Sanden80",0,0,0,57.35552,98.53646,148.0073,148.0073,148.0073,148.0073,124.65353,"Simulated"
119,"DOE_24hr0","Sanden80",0,0,0,57.3476,98.52854,147.99938,147.99938,147.99938,147.99938,124.64561,"Simulated"
120,"DOE_24hr0","Sanden80",0,0,0,57.33968,98.52062,147.99164,147.99164,147.99164,147.99164,124.63781,"Simulated"
121,"DOE_24hr0","Sanden80",2.35,0,0,57.49556,83.08508,147.98336,147.9839,147.9839,147.9839,122.08595,"Simulated"
122,"DOE_24hr0","Sanden80",3,0,0,57.62336,64.47956,146.95358,147.97634,147.97634,147.97634,118.83092,"Simulated"
123,"DOE_24hr0","Sanden80",3,0,0,57.72056,57.41204,134.41856,147.96896,147.96896,147.96896,115.57634,"Simulated"
124,"DOE_24hr0","Sanden80",2.35,0,0,57.79544,57.18884,119.28488,147.96176,147.96176,147.96176,113.02574,"Simulated"
125,"DOE_24hr0","Sanden80",0,0,0,57.78824,57.18164,119.27768,147.95456,147.95456,147.95456,113.01854,"Simulated"
126,"DOE_24hr0","Sanden80",0,0,0,57.78104,57.17444,119.27048,147.94736,147.94736,147.94736,113.01134,"Simulated"
127,"DOE_24hr0","Sanden80",0,0,0,57.77384,57.16724,119.26328,147.94034,147.94034,147.94034,113.00423,"Simulated"
128,"DOE_24hr0","Sanden80",0,0,0,57.76682,57.16004,119.25608,147.93314,147.93314,147.93314,112.99706,"Simulated"
129,"DOE_24hr0","Sanden80",0,0,0,57.75962,57.15284,119.24888,147.92594,147.92594,147.92594,112.98986,"Simulated"
130,"DOE_24hr0","Sanden80",0,0,0,57.75242,57.14582,119.24186,147.91874,147.91874,147.91874,112.98272,"Simulated"
131,"DOE_24hr0","Sanden80",0,0,0,57.74522,57.13862,119.23466,147.91154,147.91154,147.91154,112.97552,"Simulated"
132,"DOE_24hr0","Sanden80",0,0,0,57.73802,57.13142,119.22746,147.90434,147.90434,147.90434,112.96832,"Simulated"
133,"DOE_24hr0","Sanden80",0,0,0,57.731,57.12422,119.22026,147.89732,147.89732,147.89732,112.96124,"Simulated"
134,"DOE_24hr0","Sanden80",0,0,0,57.7238,57.11702,119.21306,147.89012,147.89012,147.89012,112.95404,"Simulated"
135,"DOE_24hr0","Sanden80",0,0,0,57.7166,57.11,119.20604,147.88292,147.88292,147.88292,112.9469,"Simulated"
136,"DOE_24hr0","Sanden80",0,0,0,57.7094,57.1028,119.19884,147.87572,147.87572,147.87572,112.9397,"Simulated"
137,"DOE_24hr0","Sanden80",0,0,0,57.7022,57.0956,119.19164,147.86852,147.86852,147.86852,112.9325,"Simulated"
138,"DOE_24hr0","Sanden80",0,0,0,57.69518,57.0884,119.18444,147.8615,147.8615,147.8615,112.92542,"Simulated"
139,"DOE_24hr0","Sanden80",0,0,0,57.68798,57.0812,119.17724,147.8543,147.8543,147.8543,112.91822,"Simulated"
140,"DOE_24hr0","Sanden80",0,0,0,57.68078,57.07418,119.17022,147.8471,147.8471,147.8471,112.91108,"Simulated"
141,"DOE_24hr0","Sanden80",0,0,0,57.67358,57.06698,119.16302,147.8399,147.8399,147.8399,112.90388,"Simulated"
142,"DOE_24hr0","Sanden80",0,0,0,57.66638,57.05978,119.15582,147.8327,147.8327,147.8327,112.89668,"Simulated"
143,"DOE_24hr0","Sanden80",0,0,0,57.65936,57.05258,119.14862,147.82568,147.82568,147.82568,112.8896,"Simulated"
144,"DOE_24hr0","Sanden80",0,0,0,57.65216,57.04538,119.14142,147.81848,147.81848,147.81848,112.8824,"Simulated"
145,"DOE_24hr0","Sanden80",0,0,0,57.64496,57.03836,119.1344,147.81128,147.81128,147.81128,112.87526,"Simulated"
146,"DOE_24hr0","Sanden80",0,0,0,57.63776,57.03116,119.1272,147.80408,147.80408,147.80408,112.86806,"Simulated"
147,"DOE_24hr0","Sanden80",0,0,0,57.63056,57.02396,119.12,147.79706,147.79706,147.79706,112.86095,"Simulated"
148,"DOE_24hr0","Sanden80",0,0,0,57.62354,57.01676,119.1128,147.78986,147.78986,147.78986,112.85378,"Simulated"
149,"DOE_24hr0","Sanden80",0,0,0,57.61634,57.00974,119.1056,147.78266,147.78266,147.78266,112.84661,"Simulated"
150,"DOE_24hr0","Sanden80",0,0,0,57.60914,57.00254,119.09858,147.77546,147.77546,147.77546,112.83944,"Simulated"
